id,intervention,intervention_subtype,dv1_pre_sum_score,dv1_post_sum_score,dv1_followup_sum_score,dv2_pre_sum_score,dv2_post_sum_score,dv2_followup_sum_score,dv3_pre_sum_score,dv3_post_sum_score,dv3_followup_sum_score,dv1_pre_1,dv1_pre_2,dv1_pre_3,dv1_pre_4,dv1_pre_5,dv1_pre_6,dv1_pre_7,dv1_pre_8,dv1_pre_9,dv1_pre_10,dv1_pre_11,dv1_pre_12,dv1_post_1,dv1_post_2,dv1_post_3,dv1_post_4,dv1_post_5,dv1_post_6,dv1_post_7,dv1_post_8,dv1_post_9,dv1_post_10,dv1_post_11,dv1_post_12,dv1_followup_1,dv1_followup_2,dv1_followup_3,dv1_followup_4,dv1_followup_5,dv1_followup_6,dv1_followup_7,dv1_followup_8,dv1_followup_9,dv1_followup_10,dv1_followup_11,dv1_followup_12,dv2_pre_1,dv2_pre_2,dv2_pre_3,dv2_pre_4,dv2_pre_5,dv2_pre_6,dv2_pre_7,dv2_pre_8,dv2_pre_9,dv2_pre_10,dv2_pre_11,dv2_pre_12,dv2_post_1,dv2_post_2,dv2_post_3,dv2_post_4,dv2_post_5,dv2_post_6,dv2_post_7,dv2_post_8,dv2_post_9,dv2_post_10,dv2_post_11,dv2_post_12,dv2_followup_1,dv2_followup_2,dv2_followup_3,dv2_followup_4,dv2_followup_5,dv2_followup_6,dv2_followup_7,dv2_followup_8,dv2_followup_9,dv2_followup_10,dv2_followup_11,dv2_followup_12,dv3_followup_1,dv3_pre_1,dv3_pre_2,dv3_pre_3,dv3_pre_4,dv3_pre_5,dv3_pre_6,dv3_pre_7,dv3_pre_8,dv3_pre_9,dv3_pre_10,dv3_pre_11,dv3_pre_12,dv3_post_1,dv3_post_2,dv3_post_3,dv3_post_4,dv3_post_5,dv3_post_6,dv3_post_7,dv3_post_8,dv3_post_9,dv3_post_10,dv3_post_11,dv3_post_12,dv3_followup_2,dv3_followup_3,dv3_followup_4,dv3_followup_5,dv3_followup_6,dv3_followup_7,dv3_followup_8,dv3_followup_9,dv3_followup_10,dv3_followup_11,dv3_followup_12
132,Standard,,60,72,63,60,59,44,61,59,41,4,6,6,5,5,5,4,5,5,5,5,5,6,5,6,7,7,7,7,7,7,4,7,2,3,6,5,5,7,6,5,5,6,5,5,5,6,4,5,4,5,5,5,5,5,5,5,6,5,4,5,4,5,5,5,5,5,5,5,6,3,4,6,3,2,6,5,2,5,2,3,3,3,6,4,5,5,5,5,5,5,5,5,5,6,5,4,5,5,5,5,5,5,5,5,5,5,3,6,3,2,6,3,2,5,2,3,3
133,New,Enhancement 1,60,65,NA,51,57,NA,53,58,NA,5,6,7,4,6,5,3,6,5,2,6,5,4,7,7,5,5,5,7,5,6,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,3,6,3,5,5,6,3,2,5,3,6,4,5,6,4,6,5,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,6,4,5,5,4,3,5,6,4,3,5,3,6,5,5,5,5,6,5,6,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,New,Enhancement 2,79,84,82,47,57,44,45,60,49,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,3,3,2,4,6,4,5,2,5,4,3,6,6,5,4,5,6,5,5,4,5,5,3,4,3,5,3,2,3,5,4,5,3,4,4,3,2,3,4,5,4,5,4,3,2,5,2,3,5,6,5,4,5,6,4,6,5,4,6,4,5,3,5,3,4,4,5,5,5,5,5,3
135,New,Enhancement 2,35,38,35,38,30,57,36,30,56,6,6,2,1,1,1,1,1,1,1,7,7,1,1,7,1,2,2,7,7,7,1,1,1,6,6,3,1,1,1,1,1,1,1,7,6,3,2,3,4,2,3,3,2,4,3,5,4,3,2,4,2,1,2,2,2,2,2,6,2,6,6,3,6,4,3,6,6,3,6,2,6,6,3,2,4,3,2,3,2,3,3,3,5,3,2,3,4,2,1,2,2,2,2,2,6,2,6,3,3,6,3,6,6,3,6,2,6
136,New,Enhancement 2,71,78,74,55,57,43,55,57,44,4,5,7,6,7,6,5,6,6,6,6,7,6,6,6,7,7,7,7,7,7,4,7,7,4,6,7,4,7,7,4,7,7,7,7,7,5,4,4,5,5,5,4,5,5,5,4,4,5,4,3,5,5,5,5,5,5,5,5,5,2,4,3,4,3,5,3,3,5,3,4,4,3,5,4,4,5,5,5,4,5,5,5,4,4,5,4,3,5,5,5,5,5,5,5,5,5,3,5,3,3,5,3,3,5,3,4,4
137,Standard,Enhancement 1,50,60,NA,56,52,NA,56,54,NA,2,5,6,4,4,6,3,4,4,4,4,4,4,3,7,5,6,4,6,6,5,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,3,5,6,4,3,5,5,5,4,4,3,6,3,4,6,4,3,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,3,5,6,4,4,5,5,5,4,4,4,6,3,5,6,4,3,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,Standard,,67.63636364,57,52,49.2,46,64,41,43,65,1,5,4,NA,6,7,7,7,7,5,7,6,4,3,4,5,4,5,3,6,5,6,6,6,4,7,4,5,6,4,4,4,5,2,3,4,4,5,7,NA,5,NA,1,5,2,3,4,5,5,4,3,4,3,5,1,2,4,5,6,4,7,5,1,7,7,1,7,7,1,7,7,7,7,5,4,2,2,3,4,4,3,5,2,4,3,3,4,5,1,2,6,5,6,3,2,3,3,6,1,7,7,1,7,7,1,7,7,7
139,Standard,Enhancement 1,58,61,NA,58,54,NA,59,54,NA,5,2,5,3,7,7,2,4,6,4,6,7,6,4,6,6,7,5,4,5,7,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,5,3,6,3,4,5,5,5,6,5,6,4,3,5,4,3,4,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,4,5,3,6,3,4,6,5,5,6,4,6,4,3,6,4,3,4,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,New,Enhancement 2,79,80.72727273,83,65.45454545,64.8,38,67.63636364,63,34,7,7,7,6,7,7,4,6,7,7,7,7,7,7,7,7,7,NA,7,7,7,4,7,7,7,7,7,7,7,7,6,7,7,7,7,7,NA,6,6,4,5,6,6,6,3,6,6,6,NA,6,5,4,4,6,6,6,5,6,6,NA,1,5,6,3,4,6,2,2,5,1,2,1,1,6,5,6,4,6,6,6,6,5,6,6,NA,NA,5,5,5,6,5,6,NA,4,NA,6,NA,2,7,2,3,7,1,2,5,1,2,1
141,Standard,,84,84,81.81818182,57,60,52,61,60,52,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,NA,7,6,3,6,6,6,6,4,4,5,4,4,3,5,6,6,6,6,6,4,4,5,4,4,4,4,5,6,3,3,5,5,5,6,3,2,5,4,6,6,6,6,6,6,4,4,5,4,4,4,5,4,6,6,6,6,4,4,5,4,6,4,5,6,3,2,6,5,4,6,4,2,5
142,New,Enhancement 2,41,38,38,25.2,20.72727273,63,21,18.54545455,59,1,1,4,4,4,4,1,4,3,2,7,6,4,4,7,2,4,1,4,4,4,1,2,1,1,1,4,4,4,4,1,3,4,4,4,4,6,3,NA,1,1,NA,2,1,4,1,1,1,3,3,2,1,1,NA,2,1,2,2,1,1,5,5,1,7,7,2,7,6,4,6,7,6,4,NA,6,NA,1,1,NA,2,1,NA,1,1,1,3,3,NA,1,1,2,1,1,2,1,1,1,4,1,7,7,1,6,7,4,6,7,5
143,Standard,,57,68,NA,49,52,NA,49,51,NA,5,4,6,2,6,4,2,4,6,6,6,6,7,6,7,4,6,6,6,6,6,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,3,5,5,3,5,4,5,3,3,6,3,5,3,5,5,4,5,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,4,3,5,5,3,5,4,5,3,3,5,3,5,3,5,5,4,5,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,New,Enhancement 1,78,72,NA,49,41,NA,42,42,NA,5,7,7,7,7,7,3,7,7,7,7,7,6,6,6,6,6,6,7,7,7,1,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,7,4,5,6,1,1,5,5,5,5,3,3,5,4,1,5,1,3,3,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,4,1,5,2,1,5,3,6,5,3,3,7,4,1,5,1,3,2,3,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,Standard,,56,62,54,52.36363636,54,54,53,54,59,5,6,6,4,5,4,5,4,5,5,5,2,6,5,7,1,6,5,5,7,7,4,6,3,5,4,2,6,4,5,6,4,5,4,5,4,2,3,6,4,4,7,4,2,7,5,NA,4,2,3,7,3,4,6,3,4,7,5,6,4,4,7,5,3,4,5,4,5,7,3,3,4,4,2,3,6,3,4,7,3,5,7,4,5,4,2,3,7,3,4,6,3,4,7,5,6,4,7,5,4,5,4,6,4,5,5,4,6
146,Standard,,78,83,73,67,70.66666667,37,69,71,36,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,1,5,7,4,7,7,7,7,7,7,7,7,6,4,6,6,6,5,4,6,7,6,6,5,6,4,7,6,6,6,6,NA,7,NA,NA,5,1,4,5,1,1,6,4,3,7,2,1,2,1,6,4,6,6,6,6,5,6,7,6,6,5,6,4,7,6,6,6,6,6,7,6,6,5,4,5,1,1,6,4,2,7,2,1,2
147,Standard,Enhancement 1,66,73,NA,44,42,NA,43,42,NA,5,6,7,6,6,5,5,5,6,4,4,7,7,6,7,6,6,6,7,7,7,2,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,4,3,3,4,3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,3,4,3,4,3,4,3,4,4,3,4,3,3,4,3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,Standard,Enhancement 2,78,49,78,62.66666667,52,39,64.36363636,53.45454545,39,7,7,7,6,6,6,6,7,6,6,7,7,3,3,4,3,3,5,5,4,7,4,7,1,7,6,7,6,6,7,6,7,7,7,6,6,6,3,5,3,NA,7,5,NA,7,6,NA,5,6,5,4,5,5,4,5,4,3,4,3,4,2,3,2,4,1,6,3,3,7,2,2,4,1,3,6,6,1,NA,7,6,6,7,6,6,5,5,6,5,3,6,6,5,2,3,2,NA,6,3,7,2,2,6,4,2,7,2,2,1
149,New,Enhancement 2,71,81,71,30.54545455,20.4,67,21.6,19.2,67.63636364,1,6,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,1,7,7,7,7,7,2,6,7,7,7,6,1,1,7,1,6,NA,1,2,2,5,1,1,1,1,NA,1,6,NA,1,1,2,2,1,1,7,7,7,7,1,4,7,7,1,6,7,6,7,1,1,NA,1,6,NA,1,2,2,2,1,1,1,1,NA,1,6,NA,1,1,2,1,1,1,7,4,7,6,2,NA,7,1,7,7,7
150,Standard,Enhancement 2,64,80,NA,55,63,50,61,61,45,6,5,6,4,5,6,3,5,6,6,6,6,7,6,7,6,7,7,7,6,7,6,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,5,6,5,5,4,3,6,4,3,6,6,6,6,6,5,5,5,3,6,6,3,2,5,6,2,4,5,5,4,5,4,3,5,2,6,5,5,5,5,5,6,6,3,6,6,3,6,6,6,5,5,6,5,6,2,6,6,2,4,5,3,2,5,4,5,3,4,4,4
151,New,Enhancement 2,53,57,59,58,49,40,58,49,38,3,5,7,4,4,6,4,4,4,4,4,4,7,4,6,4,4,4,6,6,4,4,4,4,3,7,7,4,4,7,4,4,4,4,4,7,5,6,4,3,6,6,4,6,3,5,4,6,5,4,4,3,4,5,4,5,3,4,3,5,3,4,5,5,3,4,2,2,4,2,4,2,3,5,6,4,3,6,6,4,6,3,5,4,6,5,4,4,3,4,5,5,4,3,4,3,5,4,4,3,3,4,2,2,4,2,4,3
152,Standard,Enhancement 2,78,82,78,58.8,48,45,61.2,61,45,7,7,7,6,7,7,3,6,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,3,6,7,6,7,7,NA,5,6,4,6,6,4,4,5,NA,3,6,5,4,2,4,5,2,4,5,5,6,4,2,2,2,6,4,2,7,4,3,7,2,4,2,2,NA,6,6,4,6,6,4,5,5,NA,4,5,6,6,6,4,5,6,4,4,6,5,4,5,3,7,4,2,6,4,2,7,2,4,2
153,New,,73,79,NA,60,60,NA,58,56.72727273,NA,5,7,7,3,6,7,5,6,7,6,7,7,7,7,7,7,7,6,7,7,7,4,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7,4,3,7,3,5,6,6,5,6,5,3,7,4,3,7,5,3,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7,4,3,7,3,5,6,6,4,5,5,3,7,4,3,7,NA,5,5,2,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Standard,,53,70,64,34.8,26.66666667,27,31.2,25.2,42,7,7,5,4,3,1,1,1,7,6,6,5,4,6,7,7,7,7,4,6,6,4,7,5,6,5,6,7,7,2,1,2,7,7,7,7,3,2,NA,4,2,NA,1,4,3,1,5,4,3,2,NA,4,2,NA,NA,1,3,1,1,3,2,3,3,4,1,1,1,4,1,2,1,4,1,1,1,NA,4,3,NA,1,4,3,3,4,2,1,1,NA,4,2,NA,1,1,4,2,1,4,3,1,3,1,1,7,7,1,7,7,3
155,New,Enhancement 1,57,46,50,33.81818182,40,48,33.81818182,39,50,7,2,6,6,6,6,2,3,2,6,4,7,2,3,5,2,4,2,3,6,6,4,5,4,2,5,5,6,6,5,1,3,3,4,5,5,3,2,2,3,3,2,4,2,4,3,NA,3,3,3,3,3,3,3,3,3,4,3,6,3,5,5,2,5,5,2,5,5,5,5,2,2,5,3,2,2,3,3,2,4,2,4,3,NA,3,3,3,3,3,2,3,3,3,4,3,6,3,5,2,6,6,2,5,5,4,3,2,5
156,New,,80,84,79,69.33333333,69.33333333,31,69,69.6,30,4,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,7,7,6,7,7,7,7,7,6,6,6,NA,NA,6,5,6,5,NA,6,6,6,6,6,NA,NA,6,5,6,5,NA,6,6,2,2,6,1,1,6,2,2,5,1,1,2,2,6,6,6,NA,NA,6,5,NA,5,NA,6,6,6,6,6,NA,NA,6,5,6,5,6,6,6,2,6,1,1,6,2,1,5,1,1,2
157,Standard,,78,79,81,70.90909091,70.90909091,46,71,70,45,7,7,7,7,6,7,4,6,7,7,7,6,6,6,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,4,7,7,7,7,7,NA,6,6,6,6,6,6,6,6,6,5,6,NA,6,6,6,6,6,6,6,6,6,5,6,2,4,6,6,2,6,3,3,5,2,4,3,2,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,5,6,4,6,6,2,6,3,3,5,3,3,2
158,New,Enhancement 2,59,69,60,40,46,53,40,46,57,4,4,7,4,4,4,3,4,7,4,7,7,7,5,7,4,7,4,7,6,7,3,6,6,4,5,7,4,4,5,2,4,7,4,7,7,4,5,4,1,3,4,4,2,4,3,2,4,4,5,5,1,3,5,4,3,4,5,3,4,3,4,3,6,6,5,5,4,5,3,5,4,3,4,5,4,1,3,4,4,2,4,3,2,4,4,5,5,1,3,5,4,3,4,5,3,4,4,5,5,6,5,5,5,5,5,5,4
159,New,Enhancement 1,81,81,83,69.81818182,70.90909091,36,70.90909091,70.90909091,35,7,7,7,6,7,7,6,7,7,6,7,7,7,6,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,6,6,6,6,5,6,6,5,NA,6,6,6,6,6,6,6,6,6,6,5,NA,6,6,2,2,6,2,2,6,3,2,5,1,2,3,1,6,6,6,6,6,6,6,6,5,NA,6,6,6,6,6,6,6,6,6,6,5,NA,6,6,2,6,2,2,6,3,2,5,1,2,3
160,Standard,,12,21,NA,19.2,21,NA,19.2,21,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,1,1,NA,1,1,NA,1,1,1,1,1,7,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,1,1,NA,1,1,NA,1,1,1,1,1,7,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,New,Enhancement 1,72,79,NA,61.09090909,60,NA,61.09090909,60,NA,4,6,7,6,6,7,5,6,6,6,7,6,7,7,7,7,6,6,7,7,7,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,2,5,6,4,6,6,NA,5,5,6,5,6,2,5,5,4,6,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,2,5,6,4,6,6,NA,5,5,6,5,6,2,5,5,4,6,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Standard,Enhancement 2,77,80,80,53,54,48,51,51,50,7,6,7,6,6,7,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,6,7,5,6,7,7,7,7,6,4,6,4,3,4,4,4,5,4,5,4,6,4,6,4,4,5,4,4,5,4,4,4,1,6,6,3,4,4,5,4,4,3,4,4,2,6,4,5,4,3,4,4,4,5,4,4,4,6,4,5,4,4,4,4,4,4,4,4,4,5,6,4,4,5,4,4,4,4,4,4
163,Standard,Enhancement 1,84,84,NA,30,30,NA,30,30,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,1,1,7,1,1,7,1,1,1,1,1,7,1,1,7,1,1,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,1,1,7,1,1,7,1,1,1,1,1,7,1,1,7,1,1,7,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Standard,Enhancement 2,78,82,NA,65.45454545,65.45454545,NA,65.45454545,65.45454545,NA,4,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,2,6,6,6,6,6,NA,5,5,6,6,6,2,6,6,6,6,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,2,6,6,6,6,6,NA,5,5,6,6,6,2,6,6,6,6,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,New,,77,84,NA,72,70.8,NA,73.2,64.36363636,NA,6,7,7,7,7,7,6,7,7,6,6,4,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,7,6,5,7,NA,6,6,NA,6,NA,6,6,5,6,6,7,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,7,6,6,7,NA,6,5,NA,6,4,1,6,6,6,6,7,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,New,Enhancement 2,57,69,NA,27,27,NA,27,27,NA,2,1,4,7,7,5,1,4,6,6,7,7,5,4,7,7,6,4,7,7,7,2,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,1,2,1,1,5,3,1,1,2,2,3,4,1,2,1,1,5,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,4,1,2,1,1,5,3,1,2,2,2,3,4,1,3,1,1,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,Standard,,79,79,NA,52.8,43.2,NA,42,46.90909091,NA,5,5,7,6,7,7,7,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,NA,NA,5,4,4,4,4,6,4,3,3,3,4,NA,2,5,3,6,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,NA,NA,2,4,3,3,4,5,4,4,5,3,4,NA,2,4,3,5,4,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,New,Enhancement 1,45,47,NA,43,54,NA,44,49,NA,1,6,3,3,4,3,1,5,6,3,5,5,4,5,6,2,4,3,6,3,4,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,3,2,4,3,4,4,3,5,4,5,4,5,4,6,3,4,4,6,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,4,3,3,3,3,4,3,5,4,4,5,4,3,3,3,2,6,7,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
